id	file	seg	src	tgt	old_tgt
013881	WORLD/AREAS012.EMI	11	{立绘0101}「そうですね‥\n---\n薬を 探して\nいただけるなら‥\n---\n{色02}リプ{/色}へ、行ってみて\nください‥		{立绘0101}「这样啊‥\n---\n如果你们愿意\n帮忙找药的话‥\n---\n\n---\n请去里普\n看看吧‥
013884	WORLD/AREAS012.EMI	11	{立绘0000}「ポッコ サッチタ、リクク‥\n---\n{立绘0101}「実は、ポコにも\n薬を 探しに\n行ってもらったんです‥\n---\nけど、このとおり\nコトバが 通じないんで‥		
013887	WORLD/AREAS012.EMI	11	{立绘0003}「ウウウ‥‥		
013892	WORLD/AREAS012.EMI	11	{框05}{立绘0003}「サント、リクク！\nピルタ、ピルタ！\n---\nタトル、プカプカ パケト\nリクク、プカプカ！\n---\nニ、プレチ\nパブパブ プカプカ\nニ プカプカ ポト！		{框05}
013894	WORLD/AREAS012.EMI	11	{立绘0006}{码0A}{队员3C}プカプカ、プカプカ！		
013896	WORLD/AREAS012.EMI	11	{立绘0004}{码0A}{/色}「ニ、プレチ\nサント プカプカ！		
013898	WORLD/AREAS012.EMI	11	{立绘0003}{码0A}{色3C}サント、プレチ！\nパブパブ カイン、ミチュ！\n---\nアイン {色02}リプ{/色}、{色02}シューク{/色}\nロイ、ロイ‥\n---\nノスタ、ロイ‥\nポト {色02}トレジャ{/色}！！		
013901	WORLD/AREAS012.EMI	11	{立绘0000}「プレチ、タアン カル！\nタアン カル！		
013903	WORLD/AREAS012.EMI	11	{立绘0000}「タアン、カル！\nポッコ カイル プレチ！		
013912	WORLD/AREAS012.EMI	11	{立绘0000}「アサセ‥{码0B}トオ{码0B}ルタ？\n---\n{立绘0101}「どうです？\n---\n少し 話せるように\nなったんですよ。		
013914	WORLD/AREAS013.EMI	11	{立绘0000}「ハイホー！？\nなんだの、アンタら？		
013918	WORLD/AREAS013.EMI	11	{立绘8040}「ホー！\n『{道具4E00}』と\n呼ばれる‥\n---\nめずらしい 金属でな‥\n---\n妖精の住む 世界で\n見つかるんじゃ‥		{立绘8040}「嚯！\n『
013920	WORLD/AREAS013.EMI	11	{立绘4500}「{队员05}、見えましたよ。		
013921	WORLD/AREAS013.EMI	11	{立绘8040}「{道具4E00}は\n妖精の 落し物とも\n呼ばれておってな‥\n---\n黄金と 同じくらい\nものスゴイ物なんじゃ。		{立绘8040}「
013922	WORLD/AREAS013.EMI	11	{立绘4100}「あの、突然すみません。\n---\n実は‥ 作っていただきたい\n物が あるんです。		
013923	WORLD/AREAS013.EMI	11	{立绘8040}「ホー！\nそりゃ、話が早い‥\n---\nだったら、まず\n妖精たちの 所に行って‥\n---\n{道具4E00}を\nもらって来るといい！		{立绘8040}「嚯！\n那话就好说了‥\n---\n那样的话，先去\n妖精们那儿‥\n---\n
013925	WORLD/AREAS013.EMI	11	{立绘8040}「色と言い、ツヤと言い‥\n---\nなんとも リッパな\n{道具4E00} じゃな！		{立绘8040}「这颜色、这光泽‥\n---\n多么出色的\n
013929	WORLD/AREAS013.EMI	11	{立绘8040}「ど、{码0B}どうじゃ‥\n{色02}あっ{/色}、という間に\n出来上がりじゃ！\n---\nほれ、持っていくがいい。		{立绘8040}「怎，怎么样‥\n\n---\n眨眼间\n就打好了！\n---\n给，拿去吧。
013933	WORLD/AREAS013.EMI	11	{立绘4100}「これで、兄さまを\n助けることが‥\nできるかも しれません‥\n---\nルディアの城に\n戻りましょう！		
