id	file	seg	src	tgt	old_tgt
011859	WORLD/AREAM027.EMI	12	{立绘0202}「え‥、{码0B}うう‥、あ？		{立绘0202}「诶‥，呃‥，啊？{码0B}うう‥、あ？
011861	WORLD/AREAM027.EMI	12	{框06}{立绘C440}「‥{码0B}‥{码0B}‥どうだ？		{框06}{立绘C440}「‥‥‥如何？{码0B}‥{码0B}‥どうだ？
011862	WORLD/AREAM027.EMI	12	{立绘0202}「ど、{码0B}どうも こうも‥\n---\n大体‥、おれが言ってる\nうでっぷし ってのは‥\n---\nたとえば、あの‥\nマストの てっぺんで\n決闘するとか‥		{立绘0202}「怎，怎么个如何‥\n---\n再说了‥，我说的\n身手呀‥\n---\n比如说，那个‥\n爬到桅杆顶上\n决斗什么的‥{码0B}どうも こうも‥\n---\n大体‥、おれが言ってる\nうでっぷし ってのは‥\n---\nたとえば、あの‥\nマストの てっぺんで\n決闘するとか‥
011864	WORLD/AREAM027.EMI	12	{立绘0202}「あー‥{码0B}‥\n---\nあんた達が、強いってのは\nまぁ、分かったよ‥		{立绘0202}「啊——‥‥\n---\n你们很强这一点\n嘛，我算是明白了‥{码0B}‥\n---\nあんた達が、強いってのは\nまぁ、分かったよ‥
011879	WORLD/AREAM027.EMI	12	{立绘0202}「よし、{码0B}じゃあ‥\n---\nおねえちゃん達には\nこっちに 来てもらおう‥		{立绘0202}「好，那么‥\n---\n就叫小姐姐们\n到这边来吧‥{码0B}じゃあ‥\n---\nおねえちゃん達には\nこっちに 来てもらおう‥
011888	WORLD/AREAM027.EMI	12	{立绘8807}「な、{码0B}何ともない！		{立绘8807}「没、没事！{码0B}何ともない！
011895	WORLD/AREAM027.EMI	12	{立绘0A05}「け、{码0B}け‥{码0B}‥{码0B}‥\n---\nおっ‥{码0B} おしり‥\n出さないと、ダメですか！？		{立绘0A05}「屁，屁‥‥‥\n---\n露‥露屁股‥\n不做就不行吗！？{码0B}け‥{码0B}‥{码0B}‥\n---\nおっ‥{码0B} おしり‥\n出さないと、ダメですか！？
011896	WORLD/AREAM027.EMI	12	{框06}{立绘8043}「そ、{码0B}そうだ！\n男は、生けつだ！		{框06}{立绘8043}「就、就是！\n男人才是祭品！{码0B}そうだ！\n男は、生けつだ！
011897	WORLD/AREAM027.EMI	12	{框06}{立绘8242}「‥‥な、{码0B}できねぇだろ？\n---\nあきらめて、るすばん‥		{框06}{立绘8242}「‥‥看，做不到吧？\n---\n死心吧，看家去‥{码0B}できねぇだろ？\n---\nあきらめて、るすばん‥
011899	WORLD/AREAM027.EMI	12	{框06}{立绘8242}「わ、{码0B}分かった！\n---\nあんた達の、カクゴは\n分かったから‥\nふくを 着てくれ！！		{框06}{立绘8242}「明，明白了！\n---\n你们的觉悟\n我见识到了‥\n快把衣服穿上！！{码0B}分かった！\n---\nあんた達の、カクゴは\n分かったから‥\nふくを 着てくれ！！
011904	WORLD/AREAM027.EMI	12	{立绘0202}「ん‥、用意は\nいいのか？{码14010C82}はい\nまだ		{立绘0202}「嗯‥，准备\n好了吗？好了\n还没{码14010C82}はい\nまだ
011908	WORLD/AREAM027.EMI	12	{立绘0202}「そうか‥、{码0B}よし。\nじゃあ、出発しよう！		{立绘0202}「这样啊‥，好。\n那就出发吧！{码0B}よし。\nじゃあ、出発しよう！
011912	WORLD/AREAM027.EMI	12	{立绘0202}「なんだって‥また\n決闘するってのかい？{码14020C82}はい\nいいえ		{立绘0202}「什么‥还要\n再决斗吗？要\n不要{码14020C82}はい\nいいえ
011917	WORLD/AREAM027.EMI	12	{立绘0202}「どうした‥\n船を 使いたいのか？{码14030C82}はい\nいいえ		{立绘0202}「怎么了‥\n要用船吗？要\n不要{码14030C82}はい\nいいえ
011921	WORLD/AREAM027.EMI	12	「いくら かたづけても\nガラクタばかり‥\n---\nなにか、{色03}お宝{/色}でも\n出てこないかな？		「收拾了半天\n全是破烂‥\n---\n能不能翻出\n什么宝物呢？{色03}お宝{/色}でも\n出てこないかな？
011966	WORLD/AREAM029.EMI	8	「へへ‥\nめずらしい物が あんよ\n買っていかんかね‥？{码14840C94}何か買おう\n持ち物を売ろう\n武器を下取りしてもらおう\n今は用がない‥		「嘿嘿‥\n有稀罕玩意哟\n不买点走吗‥？买点什么吧\n卖点什么吧\n武器折价换购\n现在用不上‥{码14840C94}何か買おう\n持ち物を売ろう\n武器を下取りしてもらおう\n今は用がない‥
011995	WORLD/AREAM030.EMI	12	{立绘0303}「お、{码0B}おめぇだな‥！\n---\nマミん家で、やっかいに\nなってるって男は！？		{立绘0303}「是，是你呀‥！\n---\n就是寄住在\n玛米家的那个男！？{码0B}おめぇだな‥！\n---\nマミん家で、やっかいに\nなってるって男は！？
012005	WORLD/AREAM030.EMI	12	{框06}{立绘8040}「やー‥、{码0B}イトコって事に\nしておくから‥\n---\n{立绘8141}心配しねぇで、体を\n治すとええよ‥！		{框06}{立绘8040}「呀——，就对外说\n是表亲吧‥\n---\n{码0B}别担心，把身体\n养好就行‥！{立绘8141}心配しねぇで、体を\n治すとええよ‥！
012019	WORLD/AREAM030.EMI	12	休んでいきますか？{码14860C93}休んでいく\n旅の記錄だけする\nやめておく		要在此休息吗？休息一下\n只做旅途记录\n还是算了{码14860C93}休んでいく\n旅の記錄だけする\nやめておく
