id	file	seg	src	tgt
005967	WORLD/AREAD124.EMI	11	うぃんでぃあのおしろ	温迪亚城
005968	WORLD/AREAD124.EMI	11	「このリフトは\n風車の力を利用して\n動かしています。	「这座升降机\n是利用风车之力\n驱动的。
005969	WORLD/AREAD124.EMI	11	「見はらし、いいでしょ‥\n---\n運が良ければ‥\n風竜さまの飛んでる姿を\n見る事もできますよ。	「视野很好吧‥\n---\n运气好的话‥\n还能看到风龙大人\n飞翔的身影哦。
005970	WORLD/AREAD124.EMI	11	「こんな高い所に、住んでて\n怖くないのかな‥	「住在这种高处\n不会害怕吗‥
005971	WORLD/AREAD124.EMI	11	「我々、ウインディア人は\n高いのが、平気なのです。\n---\nと言うか、高い所は\nむっちゃ好きなのです。	「我们温迪亚人\n不怕高的地方。\n---\n不如说，高的地方\n我们超喜欢。
005972	WORLD/AREAD124.EMI	11	「おれだって、高いの\n怖かないや‥！	「我也不怕\n高的地方‥！
005973	WORLD/AREAD124.EMI	11	「ここは、ろうやです。\n---\n見ても、おもしろいって\nものじゃありませんよ。	「这里是牢房。\n---\n看了也没有什么\n意思哦。
005974	WORLD/AREAD124.EMI	11	「ああ、エリーナさま‥\n---\nああ、{队员01}さま‥\n---\nお二人とも、美しい‥！\n---\n二人から、同時に\n愛を告げられたら‥\nぼくは、どうしよう？	「啊，艾莉娜大人‥\n---\n啊，{队员01}大人‥\n---\n二位都如此美丽‥！\n---\n要是两人同时\n向我告白‥\n我该怎么办？
005975	WORLD/AREAD124.EMI	11	「この先、いっぱんの方は\nごえんりょ下さい。	「前方普通人\n请回避。
005976	WORLD/AREAD124.EMI	11	「この先、いっぱんの‥\n---\nえ、{队员01}さま！？	「前方普通人‥\n---\n咦，{队员01}大人！？
005977	WORLD/AREAD124.EMI	11	「この先は‥\nあ、あら‥？\n---\n{队员01}さま！	「前方是‥\n啊、哎呀‥？\n---\n{队员01}大人！
005978	WORLD/AREAD124.EMI	11	「{队员01}さま‥！\nよくぞお戻り下さいました！	「{队员01}大人‥！\n您平安回来了！
005979	WORLD/AREAD124.EMI	11	「おお、おかえりなさいませ\n{队员01}さまっ！	「哦哦，欢迎回来\n{队员01}大人！
005980	WORLD/AREAD124.EMI	11	「王様が、お待ちでございます\nさ、どうぞ‥！	「国王正等着您\n请进‥！
005981	WORLD/AREAD124.EMI	11	「皆、心配しておりました\nさ、どうぞ‥！	「大家都很担心您\n快请‥！
005982	WORLD/AREAD124.EMI	11	「王様は、もちろん\n私達みんな‥\n---\n{队员01}さまの\nお归りを待っていたのです。	「不用说国王\n我们大家‥\n---\n都在等着\n{队员01}大人回来。
005983	WORLD/AREAD124.EMI	11	「やー‥\n{队员01}さまの\nお归りだー‥！	「呀——‥\n{队员01}大人\n回来啦‥！
005984	WORLD/AREAD124.EMI	11	「王のお部屋ですぞ‥\nおひかえなされ。	「这是王之房间‥\n不得无礼。
005985	WORLD/AREAD124.EMI	11	「こっ、これは\n{队员01}さま！？	「这、这不是\n{队员01}大人！？
005986	WORLD/AREAD124.EMI	11	「どうぞ中へ‥！\n王さまにお顏を\n見せてあげて下さい！	「请进‥！\n快去拜见\n国王陛下吧！
005987	WORLD/AREAD124.EMI	11	「なんだね、君たち‥？	「你们几个，有何事‥？
005988	WORLD/AREAD124.EMI	11	「なんと、{队员01}様！\nお戻りでしたか‥！	「什么，{队员01}大人！\n您回来了‥！
005989	WORLD/AREAD124.EMI	11	「エリーナさま‥‥\n---\nもう、お戻りに\nならないのですか‥‥	「艾莉娜大人‥‥\n---\n她再也\n回不来了吗‥‥
005990	WORLD/AREAD124.EMI	11	「いじょうなーし。	「一切正常。
005991	WORLD/AREAD124.EMI	11	「戦爭のころは\n連日、ここで\nかいぎが開かれてました。\n---\nでも、戦爭の話し合いなんて\n無いほうが、いいですわ。	「战争那阵子\n天天都在这里\n开会。\n---\n不过，开战事的会议\n还是别开的好。
005992	WORLD/AREAD124.EMI	11	「この先は、許可なく\nお通しできません。	「前方未经许可\n不得通行。
005993	WORLD/AREAD124.EMI	11	{框04}{立绘8040}「ルディアから‥、そなた達が\n捕まったとの報せが\nあった時には‥\n---\nどうしたものかと\n思ったものだ‥	{框04}{立绘8040}「当听闻你们‥在\n卢迪亚\n被捕的消息时‥\n---\n我也曾不知\n如何是好‥
005994	WORLD/AREAD124.EMI	11	{框04}{立绘8040}「姉を探すと、出ていった\n娘が‥\n---\n敵国で、捕らえられて\nいたとは‥！	{框04}{立绘8040}「出门寻找姐姐的\n女儿‥\n---\n竟被敌人\n抓走了‥！
005995	WORLD/AREAD124.EMI	11	{框06}{立绘C240}「申しわけありません\nウインディアの王よ‥\n---\n私がついていながら‥	{框06}{立绘C240}「实在抱歉\n温迪亚的王啊‥\n---\n明明有我在身边‥
005996	WORLD/AREAD124.EMI	11	{框04}	{框04}
005997	WORLD/AREAD124.EMI	11	{框04}{立绘8040}「あのとおり‥\nルディアは体面ばかりを\n気にかけて‥\n---\nエリーナの、そうさくを\n許そうとしない‥	{框04}{立绘8040}「你也看到了‥\n卢迪亚只顾\n体面‥\n---\n不肯允许\n搜救艾莉娜‥
005998	WORLD/AREAD124.EMI	11	{框04}	{框04}
