id	file	seg	src	tgt
009387	WORLD/AREAE031.EMI	9	ますとのうえ	桅杆之上
009388	WORLD/AREAE031.EMI	9	{立绘8040}「ど、どうだ‥\n高いだろう‥、怖いだろう？\n---\nやめるんだったら\n今のうちだぜ‥！？	{立绘8040}「怎、怎么样‥\n很高吧‥、很怕吧？\n---\n要是不想玩了\n现在还来得及‥！？
009391	WORLD/AREAE031.EMI	9	{框21}ツネキチの体当たりを\n×ボタンで、ジャンプして\nかわして下さい。\n---\n上手くかわして、ツネキチを\nマストから落とせば\n{队员01}の勝ちです。	{框21}常吉会冲撞过来\n请按×键\n起跳躲避。\n---\n成功躲避后，把常吉\n从桅杆上撞落\n即{队员01}获胜。
009393	WORLD/AREAE031.EMI	9	{立绘8242}「どうだ、海の上は‥？\n気持ちいいだろう。	{立绘8242}「如何，大海上‥？\n很惬意吧。
009394	WORLD/AREAE031.EMI	9	{立绘8242}「さあて、それで‥\nどこへ向かえば、いいんだ？	{立绘8242}「那么，接下来‥\n该往哪儿开才好？
009395	WORLD/AREAE031.EMI	9	{框05}	{框05}
009396	WORLD/AREAE031.EMI	9	{立绘8242}「ふむ‥、西側の大陸か‥\n---\n船で、直通ってワケには\nいかねぇな‥	{立绘8242}「唔姆‥、西侧大陆啊‥\n---\n船没法\n直达那儿‥
009397	WORLD/AREAE031.EMI	9	{立绘8242}「だが、船で近くまで行って\nそこから‥\n---\nあさせを伝って\n上陸できるって闻いてるよ。\n---\nまあ、何とかなるんじゃ\nねぇかな‥	{立绘8242}「不过，听说可以先开船\n到附近‥\n---\n再沿着浅滩\n登陆上岸。\n---\n总会有办法的\n吧‥
009398	WORLD/AREAE031.EMI	9	{立绘8242}「それまでの、何日か‥\n船の旅を楽しむこった‥！	{立绘8242}「在那之前的几天‥\n就好好享受航程吧‥！
009399	WORLD/AREAE031.EMI	9	{立绘8040}「異常、なーし‥！	{立绘8040}「一切，正常——‥！
009400	WORLD/AREAE031.EMI	9	{立绘0101}「海の上って‥\n気持ちいいですね\n	{立绘0101}「大海上‥\n真舒服啊\n
009404	WORLD/AREAE031.EMI	9	{立绘0304}「あたしも、海の上は\n初めてだよ‥\n---\n	{立绘0304}「我也是第一次\n来大海上‥\n---\n
009405	WORLD/AREAE031.EMI	9	{框05}{立绘0405}「何かが‥、この船を\n追ってきて‥\n---\n体当たりしてるみたいだ‥	{框05}{立绘0405}「有什么东西‥在\n追着这艘船‥\n---\n好像在用身体撞船‥
009406	WORLD/AREAE031.EMI	9	{框04}{立绘8242}「クジラ‥？イルカ‥？\n---\nいや‥、何だありゃ！？	{框04}{立绘8242}「鲸鱼‥？海豚‥？\n---\n不对‥、那是什么！？
009407	WORLD/AREAE031.EMI	9	{框05}{立绘0506}「ふっはー！\n---\nきたえ抜いた、この体！\nあのていどで\nやられはせぬわ！	{框05}{立绘0506}「呼哈——！\n---\n这具千锤百炼之躯！\n区区那种程度\n可打不倒我！
009408	WORLD/AREAE031.EMI	9	{框05}{立绘0506}「お前たちには、何度も\nおくれをとったが‥\n---\nそれも、ここまでだ\nぬっふーん！\n---\nあら海にもまれた\nこの俺様の\n技を食らえぇ〜い！	{框05}{立绘0506}「虽然输给\n你们好多次‥\n---\n到此为止了\n哼噗——！\n---\n尝尝我在大海里\n千锤百炼的\n这招吧——！
009409	WORLD/AREAE031.EMI	9	{框8B}{立绘0506}「どぅはっ！{延时30}	{框8B}{立绘0506}「咚哈！{延时30}
009410	WORLD/AREAE031.EMI	9	{框03}	{框03}
009411	WORLD/AREAE031.EMI	9	{框02}{立绘8242}「あいつ‥、海の男の\n修行したいって\nオレの所に来たんだけど‥\n---\nあのとおり、ケンカばかり\nしててなぁ‥	{框02}{立绘8242}「那家伙‥说是想\n修习海之男\n来我这儿拜师‥\n---\n结果就像这样\n整天只知道打架‥
009412	WORLD/AREAE031.EMI	9	{框02}{立绘8242}「あんたらに、負けて\nいいクスリになったろう‥	{框02}{立绘8242}「输给你们\n也算吃了剂良药吧‥
009413	WORLD/AREAE031.EMI	9	{框02}{立绘8242}「ま、心配しなくても\nあの様子なら‥\n---\nイルカに助けられて\n町まで归るだろ‥	{框02}{立绘8242}「嘛，不用担心\n看他那样子‥\n---\n会有海豚救他\n游回镇上的‥
009414	WORLD/AREAE031.EMI	9	‥それから、しばらく	‥在那之后，有一阵子
009415	WORLD/AREAE031.EMI	9	わたし達の船の旅は	我们的海上航行
009416	WORLD/AREAE031.EMI	9	何事もなく行きました。	一路平安无事。
009418	WORLD/AREAE031.EMI	9	{立绘0202}「大船に乘った気で\n安心してな‥\nと、言いたいところだが‥\n---\n風が、止まっちまった。\nおかしいな‥	{立绘0202}「想让你们\n安心乘船‥\n话是这么说‥\n---\n可风，停了。\n怪了‥
009420	WORLD/AREAE031.EMI	9	{框02}{立绘C140}「ジグさん！\n島が見えます‥！	{框02}{立绘C140}「吉格先生！\n能看见岛了‥！
009421	WORLD/AREAE031.EMI	9	{框06}{立绘8040}「兄キ、島って\nもしかして‥！？	{框06}{立绘8040}「老大，那岛\n莫非是‥！？
009422	WORLD/AREAE031.EMI	9	{立绘0202}「ああ、どうやら\nマズい場所に\n迷いこんだらしい‥\n---\nくそ、オレとした事が‥！	{立绘0202}「啊，看来我们\n迷路闯进了\n麻烦的地方‥\n---\n可恶，我竟会‥！
009423	WORLD/AREAE031.EMI	9	{立绘8202}「ここは、\n---\n火の山島という\n島の近くで‥\n---\n魔神の海と呼ばれる\n边りなんだ‥	{立绘8202}「这里是‥\n---\n名叫火山岛的\n岛屿附近‥\n---\n被称为魔神之海\n的海域‥
009424	WORLD/AREAE031.EMI	9	{立绘8040}「それで‥、その島に\n神様がいて‥\n---\n気まぐれに風を止めたり\n高波をおこしたりして‥\n---\nたくさんの船が\n沈められているんだ‥！	{立绘8040}「然后‥那座岛上\n住着一位神‥\n---\n会心血来潮地止住风\n掀起巨浪‥\n---\n很多船\n都被他弄沉了‥！
009425	WORLD/AREAE031.EMI	9	{立绘0202}「つまり‥、その\n神様の気が変わって‥\n---\n風がふくまで\n船が動かせねぇって\nことなんだ。	{立绘0202}「也就是说‥那位\n神大人心血来潮‥\n---\n不到风起\n船就动不了\n就是这个意思。
009426	WORLD/AREAE031.EMI	9	{框06}{立绘C140}「でも、	{框06}{立绘C140}「但是，
009427	WORLD/AREAE031.EMI	9	{框06}{立绘C140}「ジグさん‥\nその島に上陸することは\nできますか？	{框06}{立绘C140}「吉格先生‥\n我们可以登上\n那座岛吗？
009428	WORLD/AREAE031.EMI	9	{立绘0202}「そりゃ、できない事は\nねぇけど‥\n---\nさっきも言ったとおり\nヤバいかも知れねぇぞ？	{立绘0202}「那倒不是\n做不到‥\n---\n可就像刚才说的\n搞不好会有危险哦？
009429	WORLD/AREAE031.EMI	9	{立绘0202}「だったら、そこの\nボートを使って\n島へ行けばいいぜ‥\n---\nツネキチ！\nおめぇ、ボートを\nこいでやりな‥！	{立绘0202}「那就用那边的\n小艇\n上岛就行‥\n---\n常吉！\n你给他们\n划船‥！
009430	WORLD/AREAE031.EMI	9	{立绘8040}「じゃ、じゃあ‥\n---\n島に行く用意が\nできたら‥\n---\nおれに声をかけてよ。\nボートを出してやるから‥	{立绘8040}「那、那‥\n---\n等你们做好\n上岛准备‥\n---\n就叫我一声。\n我把小艇放下去‥
009431	WORLD/AREAE031.EMI	9	{立绘0304}「竜の化身‥？\n---\nどうも、そんな気配は\nしないけどねぇ‥\n---\n{立绘0607}って、言ってます。	{立绘0304}「龙的化身‥？\n---\n总感觉没有\n那种气息呢‥\n---\n{立绘0607}它是这么说的。
